,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-10-01,100.0,100.0,100.0,100.0,95.70214080810547,0
1,2020-10-02,100.0,100.0,100.0,100.0,95.70214080810547,0
2,2020-10-05,100.02999877929688,100.04000091552734,99.99500274658203,99.99500274658203,95.69737243652344,10725
3,2020-10-06,100.01000213623047,100.02999877929688,100.01000213623047,100.02999877929688,95.73086547851562,10080
4,2020-10-07,99.94999694824219,99.95999908447266,99.91999816894531,99.91999816894531,95.6255874633789,6350
5,2020-10-08,99.98999786376953,99.99500274658203,99.9717025756836,99.99500274658203,95.69737243652344,650
6,2020-10-09,99.97000122070312,99.9800033569336,99.94000244140625,99.94000244140625,95.64472198486328,1820
7,2020-10-12,99.95999908447266,99.97000122070312,99.94000244140625,99.94000244140625,95.64472198486328,5685
8,2020-10-13,99.97899627685547,99.98999786376953,99.96320343017578,99.96499633789062,95.66866302490234,3635
9,2020-10-14,100.0,100.0,99.9749984741211,99.9749984741211,95.67822265625,3985
10,2020-10-15,100.0,100.0,99.94499969482422,99.94499969482422,95.64952087402344,3312
11,2020-10-16,99.94999694824219,99.95999908447266,99.92500305175781,99.92500305175781,95.63037109375,2135
12,2020-10-19,99.91000366210938,99.91999816894531,99.88999938964844,99.88999938964844,95.59689331054688,126687
13,2020-10-20,99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,95.55583190917969,29
14,2020-10-21,99.83999633789062,99.83999633789062,99.82430267333984,99.82430267333984,95.53400421142578,320
15,2020-10-22,99.77999877929688,99.77999877929688,99.75,99.75,95.46289825439453,5600
16,2020-10-23,99.80999755859375,99.80999755859375,99.79000091552734,99.79000091552734,95.50117492675781,4617
17,2020-10-26,99.88999938964844,99.88999938964844,99.86000061035156,99.86000061035156,95.56816864013672,3900
18,2020-10-27,99.93000030517578,99.93000030517578,99.91500091552734,99.91500091552734,95.62081146240234,710
19,2020-10-28,99.91000366210938,99.91000366210938,99.88500213623047,99.88500213623047,95.59210205078125,704
20,2020-10-29,99.81999969482422,99.81999969482422,99.7699966430664,99.7699966430664,95.48202514648438,830
21,2020-10-30,99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,95.41495513916016,29
22,2020-11-02,99.70240020751953,99.70240020751953,99.70240020751953,99.70240020751953,95.41735076904297,1
23,2020-11-03,99.66500091552734,99.66500091552734,99.66500091552734,99.66500091552734,95.38154602050781,1
24,2020-11-04,99.95999908447266,99.9800033569336,99.95899963378906,99.97480010986328,95.67802429199219,2561
25,2020-11-05,99.99870300292969,99.99870300292969,99.99870300292969,99.99870300292969,95.7009048461914,1
